0,4.59.56.18
1,5.61.39.14
2,5.101.152.85
3,5.135.43.43
4,5.135.115.100
5,5.135.115.193-5.135.115.199
6,5.135.115.201-5.135.115.222
7,5.135.127.68
8,5.200.7.36
9,5.200.55.58
10,5.200.55.91
11,5.254.98.54
12,23.23.85.3
13,23.229.153.132
14,23.229.160.136
15,23.229.170.164
16,23.253.130.80
17,31.6.71.85
18,31.11.33.82
19,31.148.219.11
20,31.169.73.112
21,31.170.160.249
22,31.170.163.144
23,31.186.102.170
24,31.192.210.88
25,31.220.3.68
26,35.166.113.223
27,36.250.3.247
28,37.9.169.15
29,37.59.68.26
30,37.140.192.82
31,37.148.207.1
32,37.187.149.210
33,37.218.254.115
34,37.220.26.131
35,37.220.26.172
36,37.221.162.57
37,37.247.99.221
38,38.114.196.226
39,41.223.53.147
40,42.96.151.54
41,43.229.84.107
42,46.4.120.118
43,46.16.240.18
44,46.17.101.2
45,46.17.102.124
46,46.21.169.41
47,46.28.6.113
48,46.29.49.1
49,46.30.42.74
50,46.30.45.39
51,46.30.212.183
52,46.37.11.7
53,46.160.125.167
54,46.163.117.144
55,46.166.146.110
56,46.183.221.58
57,46.235.47.28
58,46.235.47.134
59,46.249.3.66
60,46.252.206.1
61,46.254.17.30
62,46.254.17.233
63,46.254.18.236
64,50.17.189.198
65,50.21.187.135
66,50.22.86.10
67,50.23.98.194
68,50.62.31.207
69,50.62.235.1
70,50.63.56.47
71,50.87.18.127
72,50.87.72.219
73,50.87.151.146
74,50.87.153.96
75,50.97.234.2
76,52.10.128.168
77,52.207.234.89
78,54.72.9.51
79,54.209.159.227
80,54.218.45.67
81,54.228.191.94
82,54.236.134.245
83,54.248.126.242
84,58.55.127.16
85,58.215.169.42
86,58.215.240.96
87,59.32.213.195
88,60.250.76.52
89,61.19.251.27
90,61.57.227.5
91,61.63.123.44
92,61.139.126.15
93,61.147.75.89
94,61.158.145.141
95,61.178.85.177
96,62.75.152.79
97,62.76.43.78
98,62.76.47.12
99,62.76.189.216
100,62.85.27.129
